,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation
2021-11-03 16:28:32+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:33+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:34+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:35+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:36+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:37+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:38+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:39+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:40+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:41+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:42+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:43+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:44+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:45+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:46+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:47+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:48+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:49+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:50+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:51+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:52+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:53+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:54+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:55+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:56+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:57+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:58+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:59+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:29:00+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:29:01+00:00,-16.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:29:02+00:00,-16.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:29:03+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:29:04+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:29:05+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:29:06+00:00,-17.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:29:07+00:00,-17.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
