datetime,channel_1,channel_2,channel_3,channel_4,,
10/21/21 18:27:44,-543.9,>Range,>Range,>Range,,
10/21/21 18:27:45,-542.3,>Range,>Range,>Range,,
10/21/21 18:27:46,-541.8,>Range,>Range,>Range,,
10/21/21 18:27:47,-529.9,>Range,>Range,>Range,,
10/21/21 18:27:48,-519.5,>Range,>Range,>Range,,
10/21/21 18:27:49,-514.6,>Range,>Range,>Range,,
10/21/21 18:27:50,-521,>Range,>Range,>Range,,
10/21/21 18:27:51,-519.6,>Range,>Range,>Range,,
10/21/21 18:27:52,-505.4,>Range,>Range,>Range,,
10/21/21 18:27:53,-500.5,>Range,>Range,>Range,,
10/21/21 18:27:54,-502.3,>Range,>Range,>Range,,
10/21/21 18:27:55,-513.8,>Range,>Range,>Range,,
10/21/21 18:27:56,-503.9,>Range,>Range,>Range,,
10/21/21 18:27:57,-512.6,>Range,>Range,>Range,,
10/21/21 18:27:58,-516.9,>Range,>Range,>Range,,
10/21/21 18:27:59,-509.4,>Range,>Range,>Range,,
10/21/21 18:28:00,-500.8,>Range,>Range,>Range,,
10/21/21 18:28:01,-504.4,>Range,>Range,>Range,,
10/21/21 18:28:02,-499.4,>Range,>Range,>Range,,
10/21/21 18:28:03,-502,>Range,>Range,>Range,,
10/21/21 18:28:04,-492,>Range,>Range,>Range,,
10/21/21 18:28:05,-488.1,>Range,>Range,>Range,,
10/21/21 18:28:06,-483.1,>Range,>Range,>Range,,
10/21/21 18:28:07,-479,>Range,>Range,>Range,,
10/21/21 18:28:08,-485.7,>Range,>Range,>Range,,
10/21/21 18:28:09,-484.5,>Range,>Range,>Range,,
10/21/21 18:28:10,-483.1,>Range,>Range,>Range,,
10/21/21 18:28:11,-479.9,>Range,>Range,>Range,,
10/21/21 18:28:12,-477.9,>Range,>Range,>Range,,
10/21/21 18:28:13,-482.9,>Range,>Range,>Range,,
10/21/21 18:28:14,-483.5,>Range,>Range,>Range,,
10/21/21 18:28:15,-486,>Range,>Range,>Range,,
10/21/21 18:28:16,-480,>Range,>Range,>Range,,
10/21/21 18:28:17,-468.6,>Range,>Range,>Range,,
